title,address,totalScore,categories,location
Bakso CITRA SATU PUTRA,"Jl. Raya Mulyosari No.177-179, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60113, Indonesia",4.7,['Restoran Bakso'],"{'lat': -7.2707337, 'lng': 112.7969433}"
Bakso asli solo Pak Tono,"Jl. Gebang Lor No.49, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.5,['Restoran Bakso'],"{'lat': -7.2812233, 'lng': 112.7873977}"
Bakso Pak Anton,"Jl. Wisma Permai Tengah I No.CC-21, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.8,"['Restoran Bakso', 'Rumah Makan']","{'lat': -7.2741205, 'lng': 112.7868231}"
Bakso Kepala Sapi,"Jl. Klampis Jaya No.47, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.3,['Restoran Bakso'],"{'lat': -7.28232, 'lng': 112.7763487}"
Warung Bakso Dan Mie Wijaya,"Jl. Mulyorejo Tengah No.73, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.5,"['Restoran Bakso', 'Restoran Mie']","{'lat': -7.2678847, 'lng': 112.7780222}"
Bakso & Mie Bondowoso,"Jl. Wonorejo Timur No.46, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.5,"['Restoran Bakso', 'Restoran Mie']","{'lat': -7.3083699, 'lng': 112.7999493}"
Bakso Pangsit Mie Ayam Sensasi Rasa,"Jl. Gebang Putih No.24, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,"['Restoran Mie', 'Restoran Bakso']","{'lat': -7.286712, 'lng': 112.784955}"
"Bakso Dan Mie Ayam ""Barokah""","Jl. Mleto No.11, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60116, Indonesia",4.9,"['Restoran Bakso', 'Restoran Mie']","{'lat': -7.2819109, 'lng': 112.7711371}"
Bakso Solo Goyang Lidah (GOLI),"Jl. Semolowaru No.31, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.2,"['Restoran Bakso', 'Restoran Mie']","{'lat': -7.3003437, 'lng': 112.7739866}"
Bakso Bem,"Bakso Bem, Jl. Gebang Lor No.105, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,['Restoran Bakso'],"{'lat': -7.280348, 'lng': 112.7891245}"
Bakso Solo Cak Awi,"PQCJ+V7Q, Jl. Sukarno Hatta, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60286, Indonesia",4.6,"['Restoran Bakso', 'Rumah Makan']","{'lat': -7.2777806, 'lng': 112.7807347}"
Bakso jumbo sinar baru 2,"Jl. Wonorejo Timur No.5, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.6,['Restoran Bakso'],"{'lat': -7.3083697, 'lng': 112.796777}"
Bakso bratang Pindahan (ITATS),"Jl. Semolowaru Jl. Nginden Semolo No.100, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.5,"['Restoran Bakso', 'Rumah Makan', 'Restoran']","{'lat': -7.3001846, 'lng': 112.7716963}"
Warung LA,"PR52+FM3, Jl. Keputih Tegal, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,['Restoran Indonesia'],"{'lat': -7.2913611, 'lng': 112.8016812}"
Warung Kampus,"Jl. Teknik Perancangan No.3 blok E, Keputih, Sukolilo, Surabaya, East Java 60111, Indonesia",4.5,['Restoran Indonesia'],"{'lat': -7.2888766, 'lng': 112.7931996}"
Warung Mbak Khol,"Jl. Keputih Gg. II C No.5, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,['Restoran Jawa'],"{'lat': -7.2884444, 'lng': 112.7988172}"
Warung Pak No Lamongan. ( Penyetan & Nasi Goreng ),"Jl. Kejawan Putih Tambak No.50, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,['Warung nasi'],"{'lat': -7.275697, 'lng': 112.801163}"
Warung Bagus,"Jl. Sutorejo Tengah VIII No.4, Dukuh Sutorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60113, Indonesia",4.8,['Restoran'],"{'lat': -7.2660114, 'lng': 112.7906514}"
Warung Makan Bu Yati,"Jl. Klampis Ngasem No.50, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.6,"['Restoran Jawa', 'Rumah Makan']","{'lat': -7.2869467, 'lng': 112.7745883}"
Warung Sultan,"Jl. Menur Pumpungan No.82, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.8,"['Kedai Kopi', 'Kedai Sarapan', 'Kedai Sarapan & Makan Siang', 'Kedai Hidangan Penutup']","{'lat': -7.289712, 'lng': 112.7718858}"
Warung Emak Murah Enak,"Jl. Gebang Wetan No.23-B, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",5.0,['Restoran Indonesia'],"{'lat': -7.2819149, 'lng': 112.789208}"
Warung Cak Nari Munos,"Kejawan Gebang III No.15, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.7,"['Rumah Makan', 'Restoran Masakan Ayam']","{'lat': -7.285944, 'lng': 112.8004529}"
Warung Mbak Sieh,"No Sukolilo, Jl. Keputih Gg. II C No.7, RT.002/RW.03, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.5,"['Restoran Jawa', 'Rumah Makan']","{'lat': -7.2886338, 'lng': 112.7992839}"
Warung Penyetan Pak Kumis,"No. 50, Jalan Arif Rachman Hakim, Keputih, Sukolilo, Surabaya, East Java 60111, Indonesia",4.3,"['Restoran Nasi Goreng', 'Restoran Mie']","{'lat': -7.2897462, 'lng': 112.7982573}"
Warung Cak Di,"Jl. Semolowaru No.75, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.6,"['Restoran Jawa', 'Rumah Makan', 'Restoran']","{'lat': -7.3002097, 'lng': 112.7754965}"
Warung Bu Warni Surabaya ( Nasi Petis-Specialist Cumi Hitam),"Jl. Semolowaru No.6, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.4,['Warung nasi'],"{'lat': -7.300215, 'lng': 112.7729171}"
Warung Satria,"Jl. Manyar Tegal No.82, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.5,['Rumah Makan'],"{'lat': -7.277858, 'lng': 112.780477}"
Warung Mami 88,"Jl. Wonorejo Timur No.88, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.4,"['Kedai Kopi', 'Warung Makanan Kecil']","{'lat': -7.308321, 'lng': 112.8000743}"
Warung LA 2,"Jl. Keputih Timur No.36c, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,"['Warung nasi', 'Kedai Sarapan & Makan Siang']","{'lat': -7.2893542, 'lng': 112.8019185}"
Bakso Daging Sapi Pak Sabar,"Jl. Raya Manyar No.44, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.6,['Restoran Bakso'],"{'lat': -7.2918667, 'lng': 112.7623854}"
