title,address,totalScore,categories,location,Jarak_KampusC,Jarak_KampusB,Jarak_KampusA
Bakso CITRA SATU PUTRA,"Jl. Raya Mulyosari No.177-179, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60113, Indonesia",4.7,Restoran Bakso,"{'lat': -7.2707337, 'lng': 112.7969433}",1.3443423346330747,3.104870355003789,3.737606173212791
Bakso asli solo Pak Tono,"Jl. Gebang Lor No.49, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.5,Restoran Bakso,"{'lat': -7.2812233, 'lng': 112.7873977}",1.3129792721802687,2.3292598687225423,2.722355643197966
Bakso Pak Anton,"Jl. Wisma Permai Tengah I No.CC-21, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.8,Restoran Bakso Rumah Makan,"{'lat': -7.2741205, 'lng': 112.7868231}",0.5398194947579342,2.0125441203068353,2.588117233056174
Bakso Kepala Sapi,"Jl. Klampis Jaya No.47, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.3,Restoran Bakso,"{'lat': -7.28232, 'lng': 112.7763487}",1.6846815017142773,1.4814801589263604,1.6170750126460156
Warung Bakso Dan Mie Wijaya,"Jl. Mulyorejo Tengah No.73, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.5,Restoran Bakso Restoran Mie,"{'lat': -7.2678847, 'lng': 112.7780222}",0.7743720200857895,1.085798467055663,1.8216186717686682
Bakso & Mie Bondowoso,"Jl. Wonorejo Timur No.46, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.5,Restoran Bakso Restoran Mie,"{'lat': -7.3083699, 'lng': 112.7999493}",4.613146203589171,5.36605170252299,5.441475417591862
Bakso Pangsit Mie Ayam Sensasi Rasa,"Jl. Gebang Putih No.24, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,Restoran Mie Restoran Bakso,"{'lat': -7.286712, 'lng': 112.784955}",1.8917279601648052,2.472244865697003,2.684535933997636
"Bakso Dan Mie Ayam ""Barokah""","Jl. Mleto No.11, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60116, Indonesia",4.9,Restoran Bakso Restoran Mie,"{'lat': -7.2819109, 'lng': 112.7711371}",2.028470166386634,1.2077117198388354,1.1119588470003652
Bakso Solo Goyang Lidah (GOLI),"Jl. Semolowaru No.31, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.2,Restoran Bakso Restoran Mie,"{'lat': -7.3003437, 'lng': 112.7739866}",3.6101359032233584,3.2797924891822956,2.9991396436517634
Bakso Bem,"Bakso Bem, Jl. Gebang Lor No.105, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,Restoran Bakso,"{'lat': -7.280348, 'lng': 112.7891245}",1.2764755237460286,2.45720003047692,2.88814735749655
